建物種別,建物名,路線情報,駅名,賃料,管理費,月額
賃貸マンション,フェルモ横浜桜木町,ブルーライン/高島町駅 歩5分,高島町,13.9,1.0,14.9
賃貸アパート,ナウスリート,相鉄本線/鶴ケ峰駅 歩7分,鶴ケ峰,7.9,0.5,8.4
賃貸アパート,メゾン　オークリーフ,ブルーライン/中田駅 歩4分,中田,9.9,0.7,10.6
賃貸マンション,ブルーライン 伊勢佐木長者町駅 11階建 築5年,ブルーライン/伊勢佐木長者町駅 歩5分,伊勢佐木長者町,10.1,1.0,11.1
賃貸マンション,ブルーライン 伊勢佐木長者町駅 11階建 築5年,ブルーライン/伊勢佐木長者町駅 歩5分,伊勢佐木長者町,10.9,1.0,11.9
賃貸マンション,ブルーライン 伊勢佐木長者町駅 11階建 築5年,ブルーライン/伊勢佐木長者町駅 歩5分,伊勢佐木長者町,11.2,1.0,12.2
賃貸マンション,京急本線 南太田駅 7階建 築8年,京急本線/南太田駅 歩12分,南太田,12.5,1.0,13.5
賃貸マンション,ミルーナヒルズ蒔田,ブルーライン/蒔田駅 歩5分,蒔田,12.5,1.0,13.5
賃貸マンション,カーサ・フォルトナ,ブルーライン/新羽駅 歩5分,新羽,10.7,0.45,11.149999999999999
賃貸マンション,ブルーライン 新羽駅 5階建 築8年,ブルーライン/新羽駅 歩5分,新羽,10.7,0.45,11.149999999999999
賃貸マンション,ブルーライン 新羽駅 5階建 築8年,ブルーライン/新羽駅 歩5分,新羽,10.7,0.45,11.149999999999999
賃貸アパート,リバーポット,小田急線/向ヶ丘遊園駅 歩7分,向ヶ丘遊園,12.1,0.45,12.549999999999999
賃貸マンション,サンテ・リヴィエ一ル,東急東横線/武蔵小杉駅 歩10分,武蔵小杉,13.7,0.3,14.0
賃貸マンション,東急東横線 武蔵小杉駅 4階建 築6年,東急東横線/武蔵小杉駅 歩10分,武蔵小杉,13.7,0.3,14.0
賃貸アパート,ｌｉｅｎ横濱天王町,相鉄本線/天王町駅 歩4分,天王町,14.2,0.3,14.5
賃貸アパート,シャロングリーンII,東急田園都市線/市が尾駅 歩6分,市が尾,11.0,0.6,11.6
賃貸アパート,シャロングリーンII,東急田園都市線/市が尾駅 歩6分,市が尾,11.0,0.6,11.6
賃貸アパート,シャロングリーンII,東急田園都市線/市が尾駅 歩6分,市が尾,11.1,0.6,11.7
賃貸アパート,シャロングリーンII,東急田園都市線/市が尾駅 歩6分,市が尾,11.1,0.6,11.7
賃貸アパート,ＪＲ京浜東北線 大船駅 3階建 築9年,ＪＲ京浜東北線/大船駅 歩5分,大船,9.8,0.0,9.8
賃貸アパート,バルコグランデ,ＪＲ京浜東北線/大船駅 歩5分,大船,9.8,0.0,9.8
賃貸マンション,Chouette,グリーンライン/都筑ふれあいの丘駅 歩2分,都筑ふれあいの丘,10.6,0.8,11.4
賃貸マンション,Chouette,グリーンライン/都筑ふれあいの丘駅 歩2分,都筑ふれあいの丘,10.6,0.8,11.4
賃貸マンション,Chouette,グリーンライン/都筑ふれあいの丘駅 歩2分,都筑ふれあいの丘,10.7,0.8,11.5
賃貸マンション,Chouette,グリーンライン/都筑ふれあいの丘駅 歩2分,都筑ふれあいの丘,10.7,0.8,11.5
賃貸マンション,Chouette,グリーンライン/都筑ふれあいの丘駅 歩2分,都筑ふれあいの丘,10.8,0.8,11.600000000000001
賃貸マンション,Chouette,グリーンライン/都筑ふれあいの丘駅 歩2分,都筑ふれあいの丘,11.0,0.8,11.8
賃貸マンション,Chouette,グリーンライン/都筑ふれあいの丘駅 歩2分,都筑ふれあいの丘,11.3,0.8,12.100000000000001
賃貸マンション,Chouette,グリーンライン/都筑ふれあいの丘駅 歩2分,都筑ふれあいの丘,11.4,0.8,12.200000000000001
賃貸マンション,Chouette,グリーンライン/都筑ふれあいの丘駅 歩2分,都筑ふれあいの丘,11.4,0.8,12.200000000000001
賃貸マンション,Chouette,グリーンライン/都筑ふれあいの丘駅 歩2分,都筑ふれあいの丘,11.5,0.8,12.3
賃貸マンション,Chouette,グリーンライン/都筑ふれあいの丘駅 歩2分,都筑ふれあいの丘,11.8,0.8,12.600000000000001
賃貸マンション,グリーンライン 都筑ふれあいの丘駅 7階建 新築,グリーンライン/都筑ふれあいの丘駅 歩2分,都筑ふれあいの丘,10.6,0.8,11.4
賃貸マンション,グリーンライン 都筑ふれあいの丘駅 7階建 新築,グリーンライン/都筑ふれあいの丘駅 歩2分,都筑ふれあいの丘,10.7,0.8,11.5
賃貸マンション,グリーンライン 都筑ふれあいの丘駅 7階建 新築,グリーンライン/都筑ふれあいの丘駅 歩2分,都筑ふれあいの丘,10.7,0.8,11.5
賃貸マンション,グリーンライン 都筑ふれあいの丘駅 7階建 新築,グリーンライン/都筑ふれあいの丘駅 歩2分,都筑ふれあいの丘,10.8,0.8,11.600000000000001
賃貸マンション,グリーンライン 都筑ふれあいの丘駅 7階建 新築,グリーンライン/都筑ふれあいの丘駅 歩2分,都筑ふれあいの丘,11.0,0.8,11.8
賃貸マンション,グリーンライン 都筑ふれあいの丘駅 7階建 新築,グリーンライン/都筑ふれあいの丘駅 歩2分,都筑ふれあいの丘,11.3,0.8,12.100000000000001
賃貸マンション,グリーンライン 都筑ふれあいの丘駅 7階建 新築,グリーンライン/都筑ふれあいの丘駅 歩2分,都筑ふれあいの丘,11.4,0.8,12.200000000000001
賃貸マンション,グリーンライン 都筑ふれあいの丘駅 7階建 新築,グリーンライン/都筑ふれあいの丘駅 歩2分,都筑ふれあいの丘,11.4,0.8,12.200000000000001
