都道府県,物件タイプ,部屋種別,駅,家賃,lon,lat
tokyo,アパート,1K/1DK,目白,7.1万円,139.706228,35.720476
tokyo,アパート,1K/1DK,池袋,6.9万円,139.7106608888889,35.730262555555555
tokyo,アパート,1K/1DK,大塚,7.0万円,139.728584,35.731412
tokyo,アパート,1K/1DK,巣鴨,7.2万円,139.738911,35.7334735
tokyo,アパート,1K/1DK,駒込,7.3万円,139.7472475,35.736892
tokyo,アパート,1K/1DK,田端,7.2万円,139.761229,35.737781
tokyo,アパート,1K/1DK,西日暮里,7.3万円,139.7667705,35.73202975
tokyo,アパート,1K/1DK,日暮里,7.4万円,139.771287,35.727908
tokyo,アパート,1K/1DK,鶯谷,7.4万円,139.778015,35.721484
tokyo,アパート,1K/1DK,上野,7.6万円,139.77706275,35.713213
tokyo,アパート,1K/1DK,御徒町,8.5万円,139.774727,35.707282
tokyo,アパート,1K/1DK,秋葉原,8.6万円,139.7739192,35.6985816
tokyo,アパート,1K/1DK,神田,8.9万円,139.77070550000002,35.6917765
tokyo,アパート,1LDK/2K/2DK,東京,-,139.76598675,35.68142116666667
tokyo,アパート,1LDK/2K/2DK,有楽町,-,139.76362566666666,35.675532
tokyo,アパート,1LDK/2K/2DK,新橋,22.9万円,139.7588392857143,35.66618485714286
tokyo,アパート,1LDK/2K/2DK,浜松町,-,139.75700566666669,35.655482666666664
tokyo,アパート,1LDK/2K/2DK,田町,16.2万円,139.747575,35.645736
tokyo,アパート,1LDK/2K/2DK,高輪ゲートウェイ,15.9万円,139.7407,35.6355
tokyo,アパート,1LDK/2K/2DK,品川,14.5万円,139.7388475,35.62868066666667
tokyo,アパート,1LDK/2K/2DK,大崎,13.3万円,139.728439,35.619772
tokyo,アパート,1LDK/2K/2DK,五反田,13.6万円,139.72405733333335,35.626112666666664
tokyo,アパート,1LDK/2K/2DK,目黒,13.7万円,139.71556875,35.63343475
tokyo,アパート,1LDK/2K/2DK,恵比寿,14.8万円,139.7098536,35.6468144
tokyo,アパート,1LDK/2K/2DK,渋谷,14.9万円,139.70145854545456,35.65893609090909
tokyo,アパート,1LDK/2K/2DK,原宿,21.5万円,139.702592,35.670646
tokyo,アパート,1LDK/2K/2DK,代々木,14.9万円,139.70191666666668,35.68311333333333
tokyo,アパート,1LDK/2K/2DK,新宿,13.3万円,139.70006215384618,35.68993538461538
tokyo,アパート,1LDK/2K/2DK,新大久保,12.9万円,139.700261,35.700875
tokyo,アパート,1LDK/2K/2DK,高田馬場,13.0万円,139.70405833333334,35.71289733333333
tokyo,アパート,1LDK/2K/2DK,目白,12.3万円,139.706228,35.720476
tokyo,アパート,1LDK/2K/2DK,池袋,11.7万円,139.7106608888889,35.730262555555555
tokyo,アパート,1LDK/2K/2DK,大塚,11.9万円,139.728584,35.731412
tokyo,アパート,1LDK/2K/2DK,巣鴨,12.2万円,139.738911,35.7334735
tokyo,アパート,1LDK/2K/2DK,駒込,11.9万円,139.7472475,35.736892
tokyo,アパート,1LDK/2K/2DK,田端,11.0万円,139.761229,35.737781
tokyo,アパート,1LDK/2K/2DK,西日暮里,11.6万円,139.7667705,35.73202975
tokyo,アパート,1LDK/2K/2DK,日暮里,11.9万円,139.771287,35.727908
tokyo,アパート,1LDK/2K/2DK,鶯谷,12.5万円,139.778015,35.721484
tokyo,アパート,1LDK/2K/2DK,上野,13.7万円,139.77706275,35.713213
tokyo,アパート,1LDK/2K/2DK,御徒町,13.0万円,139.774727,35.707282
tokyo,アパート,1LDK/2K/2DK,秋葉原,13.2万円,139.7739192,35.6985816
tokyo,アパート,1LDK/2K/2DK,神田,-,139.77070550000002,35.6917765
tokyo,アパート,2LDK/3K/3DK,東京,-,139.76598675,35.68142116666667
tokyo,アパート,2LDK/3K/3DK,有楽町,-,139.76362566666666,35.675532
tokyo,アパート,2LDK/3K/3DK,新橋,-,139.7588392857143,35.66618485714286
tokyo,アパート,2LDK/3K/3DK,浜松町,20.0万円,139.75700566666669,35.655482666666664
tokyo,アパート,2LDK/3K/3DK,田町,23.8万円,139.747575,35.645736
tokyo,アパート,2LDK/3K/3DK,高輪ゲートウェイ,19.5万円,139.7407,35.6355
tokyo,アパート,2LDK/3K/3DK,品川,21.9万円,139.7388475,35.62868066666667
tokyo,アパート,2LDK/3K/3DK,大崎,19.0万円,139.728439,35.619772
tokyo,アパート,2LDK/3K/3DK,五反田,24.8万円,139.72405733333335,35.626112666666664
tokyo,アパート,2LDK/3K/3DK,目黒,22.9万円,139.71556875,35.63343475
tokyo,アパート,2LDK/3K/3DK,恵比寿,22.9万円,139.7098536,35.6468144
tokyo,アパート,2LDK/3K/3DK,渋谷,24.5万円,139.70145854545456,35.65893609090909
tokyo,アパート,2LDK/3K/3DK,原宿,22.0万円,139.702592,35.670646
tokyo,アパート,2LDK/3K/3DK,代々木,17.3万円,139.70191666666668,35.68311333333333
tokyo,アパート,2LDK/3K/3DK,新宿,-,139.70006215384618,35.68993538461538
tokyo,アパート,2LDK/3K/3DK,新大久保,15.7万円,139.700261,35.700875
tokyo,アパート,2LDK/3K/3DK,高田馬場,18.2万円,139.70405833333334,35.71289733333333
tokyo,アパート,2LDK/3K/3DK,目白,16.8万円,139.706228,35.720476
tokyo,アパート,2LDK/3K/3DK,池袋,16.1万円,139.7106608888889,35.730262555555555
tokyo,アパート,2LDK/3K/3DK,大塚,15.3万円,139.728584,35.731412
tokyo,アパート,2LDK/3K/3DK,巣鴨,16.5万円,139.738911,35.7334735
tokyo,アパート,2LDK/3K/3DK,駒込,14.6万円,139.7472475,35.736892
tokyo,アパート,2LDK/3K/3DK,田端,14.0万円,139.761229,35.737781
tokyo,アパート,2LDK/3K/3DK,西日暮里,15.0万円,139.7667705,35.73202975
tokyo,アパート,2LDK/3K/3DK,日暮里,16.0万円,139.771287,35.727908
tokyo,アパート,2LDK/3K/3DK,鶯谷,13.3万円,139.778015,35.721484
tokyo,アパート,2LDK/3K/3DK,上野,16.4万円,139.77706275,35.713213
tokyo,アパート,2LDK/3K/3DK,御徒町,18.0万円,139.774727,35.707282
tokyo,アパート,2LDK/3K/3DK,秋葉原,25.6万円,139.7739192,35.6985816
tokyo,アパート,2LDK/3K/3DK,神田,19.8万円,139.77070550000002,35.6917765
tokyo,アパート,3LDK/4K以上,東京,17.7万円,139.76598675,35.68142116666667
tokyo,アパート,3LDK/4K以上,有楽町,-,139.76362566666666,35.675532
tokyo,アパート,3LDK/4K以上,新橋,37.5万円,139.7588392857143,35.66618485714286
tokyo,アパート,3LDK/4K以上,浜松町,26.7万円,139.75700566666669,35.655482666666664
tokyo,アパート,3LDK/4K以上,田町,23.9万円,139.747575,35.645736
tokyo,アパート,3LDK/4K以上,高輪ゲートウェイ,28.4万円,139.7407,35.6355
tokyo,アパート,3LDK/4K以上,品川,25.2万円,139.7388475,35.62868066666667
tokyo,アパート,3LDK/4K以上,大崎,19.5万円,139.728439,35.619772
tokyo,アパート,3LDK/4K以上,五反田,28.0万円,139.72405733333335,35.626112666666664
tokyo,アパート,3LDK/4K以上,目黒,23.8万円,139.71556875,35.63343475
tokyo,アパート,3LDK/4K以上,恵比寿,33.0万円,139.7098536,35.6468144
tokyo,アパート,3LDK/4K以上,渋谷,24.8万円,139.70145854545456,35.65893609090909
tokyo,アパート,3LDK/4K以上,原宿,44.2万円,139.702592,35.670646
tokyo,アパート,3LDK/4K以上,代々木,27.9万円,139.70191666666668,35.68311333333333
tokyo,アパート,3LDK/4K以上,新宿,26.5万円,139.70006215384618,35.68993538461538
tokyo,アパート,3LDK/4K以上,新大久保,21.3万円,139.700261,35.700875
tokyo,アパート,3LDK/4K以上,高田馬場,24.7万円,139.70405833333334,35.71289733333333
tokyo,アパート,3LDK/4K以上,目白,31.7万円,139.706228,35.720476
tokyo,アパート,3LDK/4K以上,池袋,25.6万円,139.7106608888889,35.730262555555555
tokyo,アパート,3LDK/4K以上,大塚,16.2万円,139.728584,35.731412
tokyo,アパート,3LDK/4K以上,巣鴨,24.0万円,139.738911,35.7334735
tokyo,アパート,3LDK/4K以上,駒込,23.2万円,139.7472475,35.736892
tokyo,アパート,3LDK/4K以上,田端,15.0万円,139.761229,35.737781
tokyo,アパート,3LDK/4K以上,西日暮里,27.8万円,139.7667705,35.73202975
tokyo,アパート,3LDK/4K以上,日暮里,37.0万円,139.771287,35.727908
tokyo,アパート,3LDK/4K以上,鶯谷,17.7万円,139.778015,35.721484
tokyo,アパート,3LDK/4K以上,上野,35.0万円,139.77706275,35.713213
tokyo,アパート,3LDK/4K以上,御徒町,22.9万円,139.774727,35.707282
tokyo,アパート,3LDK/4K以上,秋葉原,-,139.7739192,35.6985816
tokyo,アパート,3LDK/4K以上,神田,29.7万円,139.77070550000002,35.6917765
tokyo,一戸建て・その他,ワンルーム,東京,11.0万円,139.76598675,35.68142116666667
tokyo,一戸建て・その他,ワンルーム,有楽町,4.4万円,139.76362566666666,35.675532
tokyo,一戸建て・その他,ワンルーム,新橋,15.1万円,139.7588392857143,35.66618485714286
tokyo,一戸建て・その他,ワンルーム,浜松町,7.0万円,139.75700566666669,35.655482666666664
tokyo,一戸建て・その他,ワンルーム,田町,11.1万円,139.747575,35.645736
tokyo,一戸建て・その他,ワンルーム,高輪ゲートウェイ,6.8万円,139.7407,35.6355
tokyo,一戸建て・その他,ワンルーム,品川,6.4万円,139.7388475,35.62868066666667
tokyo,一戸建て・その他,ワンルーム,大崎,5.6万円,139.728439,35.619772
tokyo,一戸建て・その他,ワンルーム,五反田,12.1万円,139.72405733333335,35.626112666666664
tokyo,一戸建て・その他,ワンルーム,目黒,9.6万円,139.71556875,35.63343475
