都道府県,駅,lon,lat
kanagawa,大崎,139.728439,35.619772
kanagawa,大川,139.711038,35.495646
kanagawa,大師橋,139.740381,35.536611
kanagawa,大平台,139.073849,35.238664
kanagawa,大森,139.728079,35.588903
kanagawa,大森海岸,139.73544,35.587576
kanagawa,大森町,139.732027,35.572431
kanagawa,大磯,139.313388,35.311299
kanagawa,大船,139.531167,35.3532815
kanagawa,大雄山,139.10365,35.319046
kanagawa,天王町,139.602554,35.453984
kanagawa,奥沢,139.672355,35.603947
kanagawa,妙蓮寺,139.633194,35.498779
kanagawa,子安,139.644965,35.484556
kanagawa,学芸大学,139.68522,35.628786
kanagawa,宇都宮,,
kanagawa,安善,139.700663,35.499668
kanagawa,安針塚,139.64292,35.286641
kanagawa,宮ノ下,139.063052,35.241913
kanagawa,宮前平,139.581983,35.584951
kanagawa,宮原,139.609455,35.940256
kanagawa,宮山,139.379639,35.382261
kanagawa,宮崎台,139.591313,35.587228
kanagawa,宿河原,139.579565,35.615429
kanagawa,富士フイルム前,139.109483,35.317657
kanagawa,富士見町,139.529277,35.345389
kanagawa,富水,139.145166,35.296759
kanagawa,寒川,139.387452,35.367579
kanagawa,小山,,
kanagawa,小島新田,139.747575,35.534798
kanagawa,小机,139.599787,35.508533
kanagawa,小涌谷,139.053162,35.240374
kanagawa,小田原,139.1557595,35.25631575
kanagawa,小田急多摩センター,139.424298,35.624902
kanagawa,小田急永山,139.447943,35.629972
kanagawa,小田急相模原,139.422571,35.515134
kanagawa,小田栄,139.704944,35.5145
kanagawa,小金井,,
kanagawa,尻手,139.684233,35.530939
kanagawa,尾山台,139.653862,35.606971
kanagawa,屏風浦,139.610387,35.394176
kanagawa,山北,139.080212,35.360808
kanagawa,山手,139.646425,35.426891
kanagawa,岡部,139.237622,36.205645
kanagawa,岩原,139.12879,35.298825
kanagawa,岸根公園,139.617065,35.496038
kanagawa,川和町,139.548745,35.52802
kanagawa,川崎,139.697485,35.531311
kanagawa,川崎大師,139.725946,35.535711
kanagawa,川崎新町,139.699348,35.518234
kanagawa,市が尾,139.541496,35.551483
kanagawa,市ケ谷,139.736074,35.691787
kanagawa,市大医学部,139.650156,35.343966
kanagawa,希望ケ丘,,
kanagawa,平和島,139.73491,35.57868
kanagawa,平塚,139.349063,35.327647
